MatchID,TeamID,Free Kick,Duel,Pass,Others on the ball,Foul,Goalkeeper leaving line,Offside,Save attempt,Shot,Substitution,Interruption,Goal kick,Air duel,Throw in,Head pass,Ground loose ball duel,Simple pass,Launch,High pass,Touch,Ground defending duel,Hand pass,Ground attacking duel,Foul,Free kick cross,Goalkeeper leaving line,,Free Kick,Smart pass,Cross,Save attempt,Corner,Clearance,Shot,Acceleration,Reflexes,Substitution,Late card foul,Simulation,Free kick shot,Protest,Hand foul,Penalty,Violent Foul,Whistle,Out of game foul,Ball out of the field,Time lost foul
11,Opponent11,81,260,442,74,24,2,1,5,20,6,,4,62,38,32,58,309,26,35,61,54,5,86,24,1,2,1,81,11,24,5,5,8,20,5,5,6,,,,,,1,,,,,
12,Huskies,49,248,240,67,51,4,1,10,14,6,1,10,38,18,25,40,162,19,25,33,115,,55,51,2,4,1,49,1,8,10,4,28,14,6,4,6,,,,1,,1,,1,,,
12,Opponent12,90,240,510,56,18,,1,6,28,4,,3,37,38,26,38,400,13,33,43,51,1,114,18,7,,1,90,17,20,6,9,9,28,4,4,4,,,1,,,,,,,,
13,Huskies,43,216,303,75,26,2,,8,10,6,,12,57,17,25,32,222,13,34,54,74,4,53,26,,2,,43,,5,8,2,12,10,9,6,6,,,,,,,,,,,
13,Opponent13,61,225,657,96,12,2,,4,30,6,,4,59,29,28,34,527,12,44,81,55,3,77,12,3,2,,61,16,27,4,7,9,30,6,,6,,,,,,,,,,,
14,Huskies,38,265,412,67,33,8,2,3,12,6,,6,66,21,21,44,319,19,38,37,96,1,59,33,2,8,2,38,2,12,3,2,23,12,7,1,6,1,,,,,1,,,,,
14,Opponent14,59,234,486,38,12,2,1,6,10,6,,4,66,28,32,34,363,18,37,24,47,3,87,12,4,2,1,59,7,26,6,6,9,10,5,4,6,,,,,,1,,,,,
15,Huskies,55,284,346,59,24,4,1,4,12,6,,11,86,31,33,60,247,23,22,36,69,4,69,24,3,4,1,55,10,7,4,2,21,12,2,,6,,,,,,,,,,,
15,Opponent15,61,191,378,60,18,6,,5,8,4,,4,62,31,37,35,257,19,42,33,37,2,57,18,3,6,,61,2,19,5,5,22,8,5,3,4,,,,,,,,,,,
16,Huskies,46,213,159,79,21,4,,7,2,6,,20,39,10,18,45,87,16,28,45,91,2,38,21,2,4,,46,5,3,7,1,32,2,2,1,6,,,,,1,1,,,,,
16,Opponent16,58,200,728,71,15,4,1,3,48,6,,5,38,30,35,44,592,11,40,57,32,5,86,15,2,4,1,58,9,36,3,12,3,48,11,1,6,,,1,,1,,,,,,
17,Huskies,43,234,406,70,21,6,3,6,14,6,,5,69,22,35,45,299,29,34,33,63,3,57,21,1,6,3,43,1,5,6,1,32,14,5,2,6,,,,,,,,,1,,
17,Opponent17,70,241,451,58,19,,2,4,26,6,,7,70,41,28,47,337,29,28,46,50,2,74,19,5,,2,70,7,20,4,4,8,26,4,4,6,,,1,,1,,,,,,
18,Huskies,52,202,415,47,22,,1,5,20,6,,7,42,23,33,26,317,16,37,30,69,1,65,22,2,,1,52,3,8,5,6,15,20,2,1,6,,,,,,2,,,,,
18,Opponent18,54,181,390,58,25,2,,10,14,6,,7,42,28,24,27,316,14,25,41,47,1,65,25,1,2,,54,1,9,10,3,13,14,4,4,6,1,,1,,1,,,,1,,
19,Huskies,36,240,320,97,15,4,2,7,8,6,,10,52,11,34,55,216,29,23,64,90,4,43,15,1,4,2,36,5,9,7,2,30,8,3,7,6,,,,,1,,,,,,
19,Opponent3,54,174,678,67,7,2,4,,48,6,,8,38,26,29,45,556,8,31,54,28,6,63,7,,2,4,54,12,36,,7,7,48,6,,6,,,1,,1,,,,,,
20,Huskies,69,236,324,82,26,14,1,4,10,6,,14,76,31,27,39,210,9,49,51,67,10,54,26,6,14,1,69,2,17,4,2,31,10,,,6,,,,,,,,,,,
20,Opponent19,63,210,364,50,28,2,1,4,26,6,,7,71,24,44,31,217,12,45,38,45,4,63,28,3,2,1,63,5,37,4,10,11,26,1,2,6,,,1,,,,,,,,
21,Huskies,42,262,461,62,23,2,5,8,14,6,,11,68,18,30,52,332,31,41,45,98,5,44,23,1,2,5,42,8,14,8,4,13,14,4,6,6,,,,,1,,,,,,
21,Opponent6,60,224,384,57,13,,,1,34,6,,9,64,24,44,42,273,12,29,34,36,5,82,13,3,,,60,6,15,1,4,15,34,8,1,6,,,,,1,,,,,,
22,Huskies,42,216,353,77,21,,1,10,20,6,,9,39,14,34,42,252,10,28,60,54,6,81,21,5,,1,42,2,21,10,6,15,20,2,2,6,,,,,1,,,,,,
22,Opponent5,54,211,562,83,21,6,1,,42,6,,7,38,27,21,36,475,9,22,56,77,2,60,21,2,6,1,54,21,12,,6,12,42,15,,6,,,,,,,1,,,,
23,Huskies,45,239,343,63,30,4,7,12,10,6,,6,48,18,23,38,223,19,59,45,88,4,65,30,2,4,7,45,7,8,12,3,18,10,,8,6,,,,,,,,,,,
23,Opponent4,70,230,549,75,22,2,2,,40,6,,4,46,25,29,43,445,9,27,61,54,4,87,22,2,2,2,70,17,18,,3,11,40,3,,6,,,,,,,,,,,
24,Huskies,58,317,462,59,30,,,8,16,6,,15,65,29,46,67,335,26,29,35,106,4,79,30,4,,,58,8,14,8,,17,16,7,2,6,1,,,,1,,,,,,
24,Opponent19,66,275,317,60,21,4,,6,30,6,1,7,55,31,48,62,187,27,37,45,67,2,91,21,3,4,,66,3,13,6,3,11,30,4,2,6,,,,,1,,,,,1,
25,Huskies,52,216,331,93,19,4,3,2,22,6,,6,50,25,35,51,208,18,43,49,60,8,55,19,4,4,3,52,7,12,2,5,35,22,9,2,6,,,,,1,,,,,,
25,Opponent10,69,176,431,52,19,10,,6,12,6,,9,41,37,39,37,309,10,45,42,44,5,54,19,1,10,,69,4,19,6,5,8,12,2,2,6,,,,,1,1,,,,,
26,Huskies,44,211,355,50,16,2,3,8,22,6,1,3,48,26,15,34,262,7,41,27,54,3,75,16,7,2,3,44,6,21,8,6,19,22,4,6,6,,,,,,,,,,1,
26,Opponent9,40,192,523,84,16,8,1,3,28,6,,9,43,13,20,29,445,8,27,61,68,4,52,16,1,8,1,40,10,9,3,4,17,28,6,1,6,,,1,,,,,,,,
27,Huskies,63,208,373,61,26,2,2,6,16,6,,8,47,22,26,42,283,6,36,40,60,1,59,26,1,2,2,63,5,16,6,8,16,16,5,2,6,,,2,,2,,,,,,
27,Opponent12,64,226,317,61,30,4,1,6,26,,,2,45,28,25,44,225,10,27,39,64,2,73,30,2,4,1,64,10,18,6,7,17,26,5,4,,,,,,,1,,,,,
28,Huskies,56,266,334,91,20,4,1,6,8,6,,6,65,33,38,49,215,13,41,58,83,2,69,20,6,4,1,56,4,21,6,5,29,8,4,4,6,,,,,,,,,,,
28,Opponent11,56,261,392,61,21,2,,4,24,6,,5,56,27,37,42,283,20,29,37,75,1,88,21,1,2,,56,7,15,4,6,15,24,9,2,6,,,1,,1,,,,,,2
29,Huskies,54,268,325,74,22,,1,14,20,6,,5,75,26,45,55,211,24,26,41,64,,74,22,3,,1,54,3,16,14,4,22,20,11,6,6,,,,,,,,,,,
29,Opponent7,71,226,395,56,18,10,3,4,42,2,,7,59,36,39,44,257,27,38,42,68,5,55,18,2,10,3,71,8,21,4,10,7,42,7,4,2,,,,,,,,,,,
30,Huskies,65,239,404,53,20,2,2,7,24,6,,8,54,26,39,51,295,13,31,30,51,,83,20,6,2,2,65,7,19,7,10,12,24,11,1,6,,,,,,1,,,,,
30,Opponent8,54,200,281,71,28,6,1,6,20,6,,13,43,16,35,43,191,15,21,40,69,4,45,28,2,6,1,54,4,11,6,3,24,20,7,4,6,,,,,,,,,,,
31,Huskies,50,190,430,68,21,2,3,7,30,6,,4,36,20,27,31,323,13,34,51,59,5,64,21,2,2,3,50,10,18,7,9,10,30,7,1,6,,,1,,1,,,,,,
31,Opponent1,38,195,301,66,25,,,13,20,4,,10,36,7,27,33,209,24,22,42,65,,61,25,4,,,38,6,13,13,1,19,20,5,5,4,,,,,1,,,,,,
32,Huskies,48,129,182,43,18,,2,6,10,6,,15,26,14,12,26,111,14,30,25,44,1,33,18,2,,2,48,2,12,6,2,18,10,,4,6,,,1,,,,,,,,
32,Opponent2,51,155,940,98,15,2,3,6,36,6,,6,34,14,24,32,849,1,28,84,37,3,52,15,,2,3,51,12,23,6,11,9,36,5,,6,,,,,1,,,,,,
33,Huskies,53,227,315,93,24,2,4,5,12,6,,11,69,27,30,48,217,17,34,63,75,1,35,24,,2,4,53,3,13,5,3,25,12,5,3,6,,,,,,,,,,,
33,Opponent16,61,212,543,79,14,2,1,2,20,6,,7,63,29,37,45,428,16,31,57,34,3,70,14,2,2,1,61,15,13,2,2,17,20,5,,6,,,1,,,,,,,,
34,Huskies,42,230,405,61,22,4,,7,20,6,,6,71,19,23,33,302,19,40,23,58,6,68,22,5,4,,42,3,12,7,3,27,20,11,5,6,,,1,,,,,,,,
34,Opponent18,58,222,430,52,20,2,1,5,30,4,,10,65,27,38,33,312,16,37,40,66,4,58,20,3,2,1,58,1,22,5,6,5,30,7,3,4,,,,,,,,,,,
35,Huskies,53,242,469,79,20,2,4,2,14,6,,9,60,24,34,53,352,13,41,58,62,9,67,20,6,2,4,53,6,14,2,4,13,14,8,2,6,,,,,,,,,,,
35,Opponent17,59,270,360,73,22,4,1,1,16,6,,5,65,26,34,60,229,9,49,52,73,4,72,22,3,4,1,59,17,18,1,6,17,16,4,1,6,,,1,,1,,,,1,,
36,Huskies,52,234,408,77,16,4,3,2,12,6,,9,48,23,39,44,278,29,39,45,65,6,77,16,1,4,3,52,10,7,2,3,22,12,10,,6,,,,,,,,,,,
36,Opponent15,68,200,452,82,19,,1,6,18,6,,7,51,40,35,29,345,12,36,59,58,5,62,19,1,,1,68,2,17,6,4,15,18,8,2,6,1,,,,,,,,,,
37,Huskies,60,268,388,66,26,,2,7,12,6,,8,66,26,26,45,289,16,29,37,76,4,81,26,6,,2,60,3,21,7,3,17,12,12,3,6,,,1,,1,,,,1,,
37,Opponent13,58,223,331,48,25,12,4,3,16,6,,9,55,21,30,36,236,11,35,23,70,2,62,25,,12,4,58,8,9,3,4,14,16,11,1,6,,,2,1,,,,,,,
38,Huskies,42,160,341,47,24,,1,5,26,6,,7,34,11,30,25,255,8,31,31,57,2,44,24,4,,1,42,8,7,5,6,16,26,,3,6,,,,,,,,,,,
38,Opponent14,43,170,448,55,20,2,5,11,30,6,,6,39,11,22,26,362,15,26,31,44,3,61,20,1,2,5,43,7,13,11,6,9,30,15,5,6,,,1,,,,,,,,
